State,Measures,Year of Year,Values
Rhode Island,Person miles (millions),2017,20070
Rhode Island,Person trips (millions),2017,2596
Rhode Island,Persons traveling (thousands),2017,2090
Rhode Island,Highway vehicle-miles traveled (millions),2017,8000.980444
Rhode Island,Licensed drivers,2017,753202
Rhode Island,Highway vehicle-miles traveled (millions),2016,7927
Rhode Island,Licensed drivers,2016,753143
Rhode Island,Highway vehicle-miles traveled (millions),2015,7832.561416
Rhode Island,Licensed drivers,2015,745470
Rhode Island,Highway vehicle-miles traveled (millions),2014,7676.978023
Rhode Island,Licensed drivers,2014,748337
Rhode Island,Highway vehicle-miles traveled (millions),2013,7775.124822
Rhode Island,Licensed drivers,2013,749232
Rhode Island,Highway vehicle-miles traveled (millions),2012,7806.872883
Rhode Island,Licensed drivers,2012,749706
Rhode Island,Highway vehicle-miles traveled (millions),2011,7901.42839
Rhode Island,Licensed drivers,2011,749706
Rhode Island,Highway vehicle-miles traveled (millions),2010,8280.220439
Rhode Island,Licensed drivers,2010,747875
South Carolina,Highway vehicle-miles traveled (millions),2021,57491.95488
South Carolina,Licensed drivers,2021,3990909
South Carolina,Highway vehicle-miles traveled (millions),2020,53972.05201
South Carolina,Licensed drivers,2020,3905911
South Carolina,Highway vehicle-miles traveled (millions),2019,57939.39738
South Carolina,Licensed drivers,2019,3877968
South Carolina,Highway vehicle-miles traveled (millions),2018,56800.68275
South Carolina,Licensed drivers,2018,3846069
South Carolina,Person miles (millions),2017,129696
South Carolina,Person trips (millions),2017,11230
South Carolina,Persons traveling (thousands),2017,9220
South Carolina,Highway vehicle-miles traveled (millions),2017,55497.23573
South Carolina,Licensed drivers,2017,3810962
South Carolina,Highway vehicle-miles traveled (millions),2016,54553
South Carolina,Licensed drivers,2016,3746681
South Carolina,Highway vehicle-miles traveled (millions),2015,51726.04848
South Carolina,Licensed drivers,2015,3683824
South Carolina,Highway vehicle-miles traveled (millions),2014,49931.2691
South Carolina,Licensed drivers,2014,3617535
South Carolina,Highway vehicle-miles traveled (millions),2013,48986.25958
South Carolina,Licensed drivers,2013,3536404
South Carolina,Highway vehicle-miles traveled (millions),2012,49036.19029
South Carolina,Licensed drivers,2012,3455931
South Carolina,Highway vehicle-miles traveled (millions),2011,48730.17947
South Carolina,Licensed drivers,2011,3408318
South Carolina,Highway vehicle-miles traveled (millions),2010,49124.3352
South Carolina,Licensed drivers,2010,3337247
South Dakota,Highway vehicle-miles traveled (millions),2021,9993.91073
South Dakota,Licensed drivers,2021,671149
South Dakota,Highway vehicle-miles traveled (millions),2020,9742.50787
South Dakota,Licensed drivers,2020,658091
South Dakota,Highway vehicle-miles traveled (millions),2019,9922.399544
South Dakota,Licensed drivers,2019,638428
South Dakota,Highway vehicle-miles traveled (millions),2018,9719.406133
South Dakota,Licensed drivers,2018,638428
South Dakota,Person miles (millions),2017,25962
South Dakota,Person trips (millions),2017,1924
South Dakota,Persons traveling (thousands),2017,1530
South Dakota,Highway vehicle-miles traveled (millions),2017,9642.559371
South Dakota,Licensed drivers,2017,628506
South Dakota,Highway vehicle-miles traveled (millions),2016,9507
South Dakota,Licensed drivers,2016,622663
South Dakota,Highway vehicle-miles traveled (millions),2015,9324.353332
South Dakota,Licensed drivers,2015,655707
South Dakota,Highway vehicle-miles traveled (millions),2014,9225.040605
South Dakota,Licensed drivers,2014,609908
South Dakota,Highway vehicle-miles traveled (millions),2013,9121.797359
South Dakota,Licensed drivers,2013,603643
South Dakota,Highway vehicle-miles traveled (millions),2012,9113.47146
South Dakota,Licensed drivers,2012,606779
South Dakota,Highway vehicle-miles traveled (millions),2011,9002.048071
South Dakota,Licensed drivers,2011,603258
South Dakota,Highway vehicle-miles traveled (millions),2010,8865.980485
South Dakota,Licensed drivers,2010,602275
Tennessee,Highway vehicle-miles traveled (millions),2021,82595.59251
Tennessee,Licensed drivers,2021,5009697
Tennessee,Highway vehicle-miles traveled (millions),2020,76392.47494
Tennessee,Licensed drivers,2020,4877268
Tennessee,Highway vehicle-miles traveled (millions),2019,82891.77086
Tennessee,Licensed drivers,2019,5422429
Tennessee,Highway vehicle-miles traveled (millions),2018,81321.49097
Tennessee,Licensed drivers,2018,5422429
Tennessee,Person miles (millions),2017,189000
Tennessee,Person trips (millions),2017,14848
Tennessee,Persons traveling (thousands),2017,12102
Tennessee,Highway vehicle-miles traveled (millions),2017,82253.26397
Tennessee,Licensed drivers,2017,5377653
Tennessee,Highway vehicle-miles traveled (millions),2016,76884
Tennessee,Licensed drivers,2016,5197904
Tennessee,Highway vehicle-miles traveled (millions),2015,76670.31841
Tennessee,Licensed drivers,2015,4621401
Tennessee,Highway vehicle-miles traveled (millions),2014,72335.75425
Tennessee,Licensed drivers,2014,4613166
Tennessee,Highway vehicle-miles traveled (millions),2013,71067.04361
Tennessee,Licensed drivers,2013,4605100
Tennessee,Highway vehicle-miles traveled (millions),2012,71166.87119
Tennessee,Licensed drivers,2012,4573871
Tennessee,Highway vehicle-miles traveled (millions),2011,70751.10387
Tennessee,Licensed drivers,2011,4543759
Tennessee,Highway vehicle-miles traveled (millions),2010,70438.82433
Tennessee,Licensed drivers,2010,4418210
Texas,Highway vehicle-miles traveled (millions),2021,285027.6613
Texas,Licensed drivers,2021,18297900
Texas,Highway vehicle-miles traveled (millions),2020,260581.9555
Texas,Licensed drivers,2020,17667039
Texas,Highway vehicle-miles traveled (millions),2019,288227.2355
Texas,Licensed drivers,2019,17822760
Texas,Highway vehicle-miles traveled (millions),2018,282037.2651
Texas,Licensed drivers,2018,17370383
Texas,Person miles (millions),2017,708182
Texas,Person trips (millions),2017,60820
Texas,Persons traveling (thousands),2017,50936
Texas,Highway vehicle-miles traveled (millions),2017,272980.907
Texas,Licensed drivers,2017,17099340
Texas,Highway vehicle-miles traveled (millions),2016,271263
Texas,Licensed drivers,2016,15879876
Texas,Highway vehicle-miles traveled (millions),2015,258122.3092
Texas,Licensed drivers,2015,15879876
Texas,Highway vehicle-miles traveled (millions),2014,243075.8458
Texas,Licensed drivers,2014,15648733
Texas,Highway vehicle-miles traveled (millions),2013,244524.8829
Texas,Licensed drivers,2013,15447273
Texas,Highway vehicle-miles traveled (millions),2012,237835.8227
Texas,Licensed drivers,2012,15252192
Texas,Highway vehicle-miles traveled (millions),2011,237439.8911
Texas,Licensed drivers,2011,15122518
Texas,Highway vehicle-miles traveled (millions),2010,234015.906
Texas,Licensed drivers,2010,15157650
Utah,Highway vehicle-miles traveled (millions),2021,33637.94703
Utah,Licensed drivers,2021,2207208
Utah,Highway vehicle-miles traveled (millions),2020,30251.18348
Utah,Licensed drivers,2020,2149766
Utah,Highway vehicle-miles traveled (millions),2019,32910.67512
Utah,Licensed drivers,2019,2121099
Utah,Highway vehicle-miles traveled (millions),2018,32069.28791
Utah,Licensed drivers,2018,2030644
Utah,Person miles (millions),2017,72238
Utah,Person trips (millions),2017,9116
Utah,Persons traveling (thousands),2017,6562
Utah,Highway vehicle-miles traveled (millions),2017,31475.02571
Utah,Licensed drivers,2017,1995377
Utah,Highway vehicle-miles traveled (millions),2016,31449
Utah,Licensed drivers,2016,1960366
Utah,Highway vehicle-miles traveled (millions),2015,29603.66349
Utah,Licensed drivers,2015,1913564
Utah,Highway vehicle-miles traveled (millions),2014,27554.41929
Utah,Licensed drivers,2014,1425703
Utah,Highway vehicle-miles traveled (millions),2013,27005.47607
Utah,Licensed drivers,2013,1661219
Utah,Highway vehicle-miles traveled (millions),2012,26527.83436
Utah,Licensed drivers,2012,1788822
Utah,Highway vehicle-miles traveled (millions),2011,26221.62634
Utah,Licensed drivers,2011,1747487
Utah,Highway vehicle-miles traveled (millions),2010,26585.22215
Utah,Licensed drivers,2010,1659835.25
Vermont,Highway vehicle-miles traveled (millions),2021,6625.05499
Vermont,Licensed drivers,2021,469624
Vermont,Highway vehicle-miles traveled (millions),2020,6006.9751
Vermont,Licensed drivers,2020,460871
Vermont,Highway vehicle-miles traveled (millions),2019,7345.626922
Vermont,Licensed drivers,2019,564894
Vermont,Highway vehicle-miles traveled (millions),2018,7346.350178
Vermont,Licensed drivers,2018,564892
Vermont,Person miles (millions),2017,16460
Vermont,Person trips (millions),2017,1840
Vermont,Persons traveling (thousands),2017,1480
Vermont,Highway vehicle-miles traveled (millions),2017,7424.419886
Vermont,Licensed drivers,2017,560247
Vermont,Highway vehicle-miles traveled (millions),2016,7382
Vermont,Licensed drivers,2016,553670
Vermont,Highway vehicle-miles traveled (millions),2015,7313.841852
Vermont,Licensed drivers,2015,548799
Vermont,Highway vehicle-miles traveled (millions),2014,7059.200784
Vermont,Licensed drivers,2014,545312
Vermont,Highway vehicle-miles traveled (millions),2013,7115.877038
Vermont,Licensed drivers,2013,543057
Vermont,Highway vehicle-miles traveled (millions),2012,7215.657792
Vermont,Licensed drivers,2012,529501
Vermont,Highway vehicle-miles traveled (millions),2011,7141.03908
Vermont,Licensed drivers,2011,521666
Vermont,Highway vehicle-miles traveled (millions),2010,7247.55584
Vermont,Licensed drivers,2010,513481
Virginia,Highway vehicle-miles traveled (millions),2021,80102.4661
Virginia,Licensed drivers,2021,5912644
Virginia,Highway vehicle-miles traveled (millions),2020,76110.26923
Virginia,Licensed drivers,2020,5909716
Virginia,Highway vehicle-miles traveled (millions),2019,85432.48415
Virginia,Licensed drivers,2019,5888196
Virginia,Highway vehicle-miles traveled (millions),2018,85336.10206
Virginia,Licensed drivers,2018,5929031
Virginia,Person miles (millions),2017,249234
Virginia,Person trips (millions),2017,20766
Virginia,Persons traveling (thousands),2017,16688
Virginia,Highway vehicle-miles traveled (millions),2017,85262.94495
Virginia,Licensed drivers,2017,5926430
Virginia,Highway vehicle-miles traveled (millions),2016,84463
Virginia,Licensed drivers,2016,5912048
Virginia,Highway vehicle-miles traveled (millions),2015,82624.52764
Virginia,Licensed drivers,2015,5820209
Virginia,Highway vehicle-miles traveled (millions),2014,80984.63614
Virginia,Licensed drivers,2014,5769063
Virginia,Highway vehicle-miles traveled (millions),2013,80767.0057
Virginia,Licensed drivers,2013,5602765
Virginia,Highway vehicle-miles traveled (millions),2012,80958.66779
Virginia,Licensed drivers,2012,5538480
Virginia,Highway vehicle-miles traveled (millions),2011,80973.99206
Virginia,Licensed drivers,2011,5467045
Virginia,Highway vehicle-miles traveled (millions),2010,82170.61428
Virginia,Licensed drivers,2010,5402347
Washington,Highway vehicle-miles traveled (millions),2021,57796.59611
Washington,Licensed drivers,2021,5868509
Washington,Highway vehicle-miles traveled (millions),2020,53658.2413
Washington,Licensed drivers,2020,5812500
Washington,Highway vehicle-miles traveled (millions),2019,62529.63832
Washington,Licensed drivers,2019,5711136
Washington,Highway vehicle-miles traveled (millions),2018,62366.65613
Washington,Licensed drivers,2018,5909967
Washington,Person miles (millions),2017,190326
Washington,Person trips (millions),2017,15762
Washington,Persons traveling (thousands),2017,12894
Washington,Highway vehicle-miles traveled (millions),2017,61419.92486
Washington,Licensed drivers,2017,5768281
Washington,Highway vehicle-miles traveled (millions),2016,61018
Washington,Licensed drivers,2016,5635715
Washington,Highway vehicle-miles traveled (millions),2015,59652.50424
Washington,Licensed drivers,2015,5516134
Washington,Highway vehicle-miles traveled (millions),2014,58059.8
Washington,Licensed drivers,2014,5401139
Washington,Highway vehicle-miles traveled (millions),2013,57211.21142
Washington,Licensed drivers,2013,5301630
Washington,Highway vehicle-miles traveled (millions),2012,56762.00621
Washington,Licensed drivers,2012,5227889
Washington,Highway vehicle-miles traveled (millions),2011,56954.57284
Washington,Licensed drivers,2011,5178789
Washington,Highway vehicle-miles traveled (millions),2010,57190.44282
Washington,Licensed drivers,2010,5106367
West Virginia,Highway vehicle-miles traveled (millions),2021,16079.27494
West Virginia,Licensed drivers,2021,1138290
West Virginia,Highway vehicle-miles traveled (millions),2020,16054.14025
West Virginia,Licensed drivers,2020,1101775.405
West Virginia,Highway vehicle-miles traveled (millions),2019,19076.55966
West Virginia,Licensed drivers,2019,1130389.173
West Virginia,Highway vehicle-miles traveled (millions),2018,19447.32321
West Virginia,Licensed drivers,2018,1136775
West Virginia,Person miles (millions),2017,36212
West Virginia,Person trips (millions),2017,4610
West Virginia,Persons traveling (thousands),2017,3934
West Virginia,Highway vehicle-miles traveled (millions),2017,19072.33545
West Virginia,Licensed drivers,2017,1148786
West Virginia,Highway vehicle-miles traveled (millions),2016,19539
West Virginia,Licensed drivers,2016,1159348
West Virginia,Highway vehicle-miles traveled (millions),2015,19826.64297
West Virginia,Licensed drivers,2015,1167346.264
West Virginia,Highway vehicle-miles traveled (millions),2014,19117.49047
West Virginia,Licensed drivers,2014,1171906.746
West Virginia,Highway vehicle-miles traveled (millions),2013,19232.34743
West Virginia,Licensed drivers,2013,1177136
West Virginia,Highway vehicle-miles traveled (millions),2012,19225.78561
West Virginia,Licensed drivers,2012,1241586
West Virginia,Highway vehicle-miles traveled (millions),2011,18963.12603
West Virginia,Licensed drivers,2011,1198837.194
West Virginia,Highway vehicle-miles traveled (millions),2010,19203.03357
West Virginia,Licensed drivers,2010,1206026
Wisconsin,Highway vehicle-miles traveled (millions),2021,64983.27947
Wisconsin,Licensed drivers,2021,4340851
Wisconsin,Highway vehicle-miles traveled (millions),2020,57599.94105
Wisconsin,Licensed drivers,2020,4315892
Wisconsin,Highway vehicle-miles traveled (millions),2019,66347.62385
Wisconsin,Licensed drivers,2019,4296646
Wisconsin,Highway vehicle-miles traveled (millions),2018,65885.43495
Wisconsin,Licensed drivers,2018,4288171
Wisconsin,Person miles (millions),2017,147074
Wisconsin,Person trips (millions),2017,13634
Wisconsin,Persons traveling (thousands),2017,10850
Wisconsin,Highway vehicle-miles traveled (millions),2017,65323.70927
Wisconsin,Licensed drivers,2017,4234793
Wisconsin,Highway vehicle-miles traveled (millions),2016,64046
Wisconsin,Licensed drivers,2016,4206770
Wisconsin,Highway vehicle-miles traveled (millions),2015,62073.36822
Wisconsin,Licensed drivers,2015,4194759
Wisconsin,Highway vehicle-miles traveled (millions),2014,60053.38039
Wisconsin,Licensed drivers,2014,4188194
Wisconsin,Highway vehicle-miles traveled (millions),2013,59486.15042
Wisconsin,Licensed drivers,2013,4171427
Wisconsin,Highway vehicle-miles traveled (millions),2012,59087.29989
Wisconsin,Licensed drivers,2012,4056649
Wisconsin,Highway vehicle-miles traveled (millions),2011,58553.70387
Wisconsin,Licensed drivers,2011,4147470
Wisconsin,Highway vehicle-miles traveled (millions),2010,59420.26643
Wisconsin,Licensed drivers,2010,4133377
Wyoming,Highway vehicle-miles traveled (millions),2021,11096.52015
Wyoming,Licensed drivers,2021,430472
Wyoming,Highway vehicle-miles traveled (millions),2020,9800.31981
Wyoming,Licensed drivers,2020,427233
Wyoming,Highway vehicle-miles traveled (millions),2019,10207.60565
Wyoming,Licensed drivers,2019,424115
Wyoming,Highway vehicle-miles traveled (millions),2018,10438.44261
Wyoming,Licensed drivers,2018,419256
Wyoming,Person miles (millions),2017,16290
Wyoming,Person trips (millions),2017,1522
Wyoming,Persons traveling (thousands),2017,1106
Wyoming,Highway vehicle-miles traveled (millions),2017,9784.665268
Wyoming,Licensed drivers,2017,422465
Wyoming,Highway vehicle-miles traveled (millions),2016,9323
Wyoming,Licensed drivers,2016,421098
Wyoming,Highway vehicle-miles traveled (millions),2015,9597.036265
Wyoming,Licensed drivers,2015,422450
Wyoming,Highway vehicle-miles traveled (millions),2014,9457.283095
Wyoming,Licensed drivers,2014,423987
Wyoming,Highway vehicle-miles traveled (millions),2013,9308.940396
Wyoming,Licensed drivers,2013,421473
Wyoming,Highway vehicle-miles traveled (millions),2012,9270.993558
Wyoming,Licensed drivers,2012,421580
Wyoming,Highway vehicle-miles traveled (millions),2011,9244.90554
Wyoming,Licensed drivers,2011,421928
Wyoming,Highway vehicle-miles traveled (millions),2010,9362.789824
Wyoming,Licensed drivers,2010,419466
