State,Measures,Year of Year,Values
Hawaii,Licensed drivers,2020,921547
Hawaii,Highway vehicle-miles traveled (millions),2019,11024.0049
Hawaii,Licensed drivers,2019,943173
Hawaii,Highway vehicle-miles traveled (millions),2018,10886.76775
Hawaii,Licensed drivers,2018,948417
Hawaii,Person miles (millions),2017,28296
Hawaii,Person trips (millions),2017,3326
Hawaii,Persons traveling (thousands),2017,2774
Hawaii,Highway vehicle-miles traveled (millions),2017,10748.61947
Hawaii,Licensed drivers,2017,951008
Hawaii,Highway vehicle-miles traveled (millions),2016,10635
Hawaii,Licensed drivers,2016,931703
Hawaii,Highway vehicle-miles traveled (millions),2015,10300.52988
Hawaii,Licensed drivers,2015,909797
Hawaii,Highway vehicle-miles traveled (millions),2014,10174.34633
Hawaii,Licensed drivers,2014,902639
Hawaii,Highway vehicle-miles traveled (millions),2013,10099.35059
Hawaii,Licensed drivers,2013,915033
Hawaii,Highway vehicle-miles traveled (millions),2012,10049.66346
Hawaii,Licensed drivers,2012,915033
Hawaii,Highway vehicle-miles traveled (millions),2011,10066.37931
Hawaii,Licensed drivers,2011,911660
Hawaii,Highway vehicle-miles traveled (millions),2010,9994.649305
Hawaii,Licensed drivers,2010,909407
Idaho,Highway vehicle-miles traveled (millions),2021,19308.17008
Idaho,Licensed drivers,2021,1343453
Idaho,Highway vehicle-miles traveled (millions),2020,17406.41762
Idaho,Licensed drivers,2020,1285331
Idaho,Highway vehicle-miles traveled (millions),2019,18057.66158
Idaho,Licensed drivers,2019,1252535
Idaho,Highway vehicle-miles traveled (millions),2018,17709.14577
Idaho,Licensed drivers,2018,1252535
Idaho,Person miles (millions),2017,32924
Idaho,Person trips (millions),2017,4568
Idaho,Persons traveling (thousands),2017,3850
Idaho,Highway vehicle-miles traveled (millions),2017,17300.37194
Idaho,Licensed drivers,2017,1190367
Idaho,Highway vehicle-miles traveled (millions),2016,17199
Idaho,Licensed drivers,2016,1160922
Idaho,Highway vehicle-miles traveled (millions),2015,16661.94971
Idaho,Licensed drivers,2015,1135009
Idaho,Highway vehicle-miles traveled (millions),2014,16154.04002
Idaho,Licensed drivers,2014,1128497
Idaho,Highway vehicle-miles traveled (millions),2013,15980.10637
Idaho,Licensed drivers,2013,1111485
