RevenueType,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Exhibit: Salaries and wages,"5,241,766","1,741,296","4,372,911","3,343,926","38,924,773","6,085,506","4,481,137","1,589,868","9,865,971","6,902,134","3,438,991","1,586,839","8,802,273","4,971,540","3,584,667","3,083,484","4,369,910","4,251,057","1,121,138","5,653,514","7,948,230","10,566,392","6,029,131","2,741,902","4,068,402","1,199,562","1,894,216","1,969,234","1,195,088","10,602,131","2,629,700","19,517,223","8,949,871","1,066,928","8,457,440","3,371,152","5,142,261","10,958,977","1,350,445","4,326,663","764,864","4,412,997","19,956,241","3,983,369","972,632","8,083,850","8,926,857","1,933,299","4,503,779","713,967"
Total expenditure,"33,365,834","10,205,872","42,258,818","23,372,156","403,193,663","37,984,178","29,338,191","10,484,139","103,172,742","53,695,079","14,296,809","11,190,957","90,725,984","43,035,274","24,458,047","20,579,917","35,568,239","36,201,310","9,769,469","48,218,873","69,322,663","80,521,661","50,624,893","22,791,745","36,001,865","8,062,083","11,258,538","17,797,953","9,069,448","82,290,411","22,026,171","217,075,655","64,384,412","7,753,564","90,235,870","25,194,706","40,837,748","108,795,923","9,853,887","34,267,163","5,384,874","35,240,675","164,225,709","23,021,027","7,028,811","59,464,290","60,238,524","15,260,255","43,838,589","6,182,318"
 General expenditure,"29,459,745","8,669,562","37,641,734","21,189,395","345,350,721","32,077,151","23,807,232","9,546,614","92,120,877","46,423,691","12,651,113","9,767,517","74,595,590","40,334,044","21,393,069","18,621,118","30,780,012","31,243,919","8,494,826","41,824,137","58,583,564","71,242,329","44,327,491","19,531,343","30,802,832","6,816,010","10,376,774","14,830,133","7,644,874","64,964,892","19,460,923","178,181,732","57,750,911","7,050,527","71,530,412","21,802,334","34,343,449","94,612,288","8,412,633","28,863,743","4,751,738","32,365,809","145,458,545","20,872,769","6,514,720","53,207,883","52,929,050","13,527,158","37,872,836","5,225,087"
Intergovernmental expenditure,"7,623,703","615,695","8,820,092","5,506,995","118,971,030","8,181,583","6,021,393","1,709,844","19,186,392","13,652,205","328,597","2,708,320","22,039,278","10,484,135","5,392,612","5,252,680","5,080,396","6,491,823","1,447,848","9,548,598","9,908,172","23,597,434","14,965,157","5,497,200","6,380,912","1,152,003","2,610,299","4,922,379","1,775,472","15,745,104","5,498,447","63,299,359","15,903,881","2,265,300","18,810,597","4,611,015","6,607,616","23,081,986","1,374,263","6,295,350","912,466","7,786,550","32,072,001","4,168,481","1,868,398","12,751,128","16,832,903","2,427,303","11,616,405","1,320,477"
Direct expenditure,"21,836,042","8,053,867","28,821,642","15,682,400","226,379,691","23,895,568","17,785,839","7,836,770","72,934,485","32,771,486","12,322,516","7,059,197","52,556,312","29,849,909","16,000,457","13,368,438","25,699,616","24,752,096","7,046,978","32,275,539","48,675,392","47,644,895","29,362,334","14,034,143","24,421,920","5,664,007","7,766,475","9,907,754","5,869,402","49,219,788","13,962,476","114,882,373","41,847,030","4,785,227","52,719,815","17,191,319","27,735,833","71,530,302","7,038,370","22,568,393","3,839,272","24,579,259","113,386,544","16,704,288","4,646,322","40,456,755","36,096,147","11,099,855","26,256,431","3,904,610"
" General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,"12,520,043","1,315,517","13,133,885","8,076,367","112,547,297","12,718,056","7,473,755","3,606,269","30,050,827","20,917,587","3,973,889","3,501,892","18,468,331","16,204,219","7,291,064","7,687,475","9,987,635","9,771,114","2,256,389","13,653,160","13,405,242","27,642,874","16,202,189","5,906,226","10,156,760","1,917,262","3,898,084","5,629,287","2,304,994","24,786,204","5,957,731","48,595,418","22,768,346","2,395,545","22,856,498","8,227,215","10,884,873","28,249,509","2,218,674","11,489,690","1,610,954","10,992,783","58,086,365","9,490,065","2,822,685","18,236,521","22,661,025","4,216,362","13,063,265","1,955,128"
Public welfare,"7,245,337","2,896,373","16,055,113","7,752,884","144,503,870","9,785,362","4,917,254","2,664,639","27,685,583","13,596,249","2,870,285","2,856,738","26,293,783","15,043,164","6,653,561","4,735,115","11,906,570","12,569,790","3,512,375","13,811,430","24,818,872","21,020,491","16,075,483","6,787,390","9,862,450","2,257,770","2,794,802","4,316,008","2,646,521","19,746,910","6,213,256","75,185,226","15,479,820","1,566,235","28,743,493","7,050,604","12,132,689","33,364,549","3,361,660","8,258,446","1,242,691","12,469,362","42,081,098","4,120,557","1,860,780","13,263,092","12,488,850","4,854,329","11,863,794","858,064"
Hospitals,"3,212,550","32,719",194,"1,179,702","14,744,033","1,220,550","1,505,182","80,136","1,650,534","1,516,192","533,309","51,622","856,042","140,968","2,344,486","2,778,649","2,020,885","355,578","123,145","350,816","717,198","4,947,487","396,559","1,639,996","2,561,844","65,624","198,236","281,439","69,340","2,585,945","1,258,100","6,149,472","2,486,022","52,439","4,128,880","274,332","2,597,111","5,722,369","55,448","1,970,912","37,547","381,398","8,757,926","2,456,075","23,357","5,467,913","3,627,640","161,432","2,396,195","3,167"
Health,"585,441","212,741","591,202","174,227","9,640,186","587,007","1,037,543","466,613","4,827,762","1,521,205","613,612","182,166","1,227,197","607,153","235,274","435,624","437,146","469,583","224,208","2,412,016","1,724,628","2,179,728","605,272","359,904","2,040,039","178,277","292,283","286,600","143,068","1,938,829","381,540","9,927,601","1,717,183","142,291","1,992,943","881,465","1,010,332","3,929,576","237,668","1,273,421","77,182","1,467,749","3,162,963","367,325","389,462","1,696,808","3,358,981","287,636","644,413","296,702"
